,Serienummer,SID,Tijdstip van indienen,Verwerkingstijd,Tijdstip van wijziging,Concept,UID,Wat is je leeftijd?,Wat is je geslacht?,In welk leerjaar zit je?,Hoeveel uur wiskunde krijg je per week?,"Hoe goed ben je, volgens jezelf, in wiskunde?","Hoe goed ben je, volgens jezelf, met het gebruik van computers?","Gebruikte je al eens een andere website om online oefeningen te maken? (bijvoorbeeld voor wiskunde, Nederlands ...)","Gebruik je websites waar producten/films/... worden aangeraden? (zoals Netflix, Amazon, Bol, ...)",Ik bezoek Wiski niet met Safari of Firefox.
31,32,52,04/27/2021 - 16:20,04/27/2021 - 16:20,04/27/2021 - 16:20,0,1903,16, Jongen, 5e middelbaar,7, Gemiddeld, Goed, Ja, Nee, Ja
32,33,53,04/27/2021 - 16:24,04/27/2021 - 16:24,04/27/2021 - 16:24,0,1904,16, Meisje, 5e middelbaar,7, Goed, Zwak, Ja, Ja, Ja
33,34,54,04/27/2021 - 17:01,04/27/2021 - 17:01,04/27/2021 - 17:01,0,1905,16, Meisje, 5e middelbaar,7, Gemiddeld, Goed, Nee, Ja, Ja
34,35,55,04/27/2021 - 17:01,04/27/2021 - 17:01,04/27/2021 - 17:01,0,1905,16, Meisje, 5e middelbaar,7, Gemiddeld, Goed, Nee, Ja, Ja
35,36,56,04/27/2021 - 17:06,04/27/2021 - 17:06,04/27/2021 - 17:06,0,1906,17, Meisje, 5e middelbaar,7, Heel goed, Goed, Ja, Ja, Ja
36,37,57,04/27/2021 - 17:56,04/27/2021 - 17:56,04/27/2021 - 17:56,0,1907,17, Jongen, 5e middelbaar,7, Zwak, Goed, Ja, Nee, Ja
37,38,58,04/27/2021 - 21:19,04/27/2021 - 21:19,04/27/2021 - 21:19,0,1908,16, Jongen, 5e middelbaar,7, Goed, Gemiddeld, Ja, Ja, Ja
38,39,59,04/28/2021 - 13:06,04/28/2021 - 13:06,04/28/2021 - 13:06,0,1909,17, Meisje, 5e middelbaar,7, Gemiddeld, Gemiddeld, Ja, Ja, Ja
39,40,60,04/28/2021 - 14:45,04/28/2021 - 14:45,04/28/2021 - 14:45,0,1910,16, Meisje, 4e middelbaar,5, Gemiddeld, Goed, Ja, Ja, Ja
40,41,61,04/28/2021 - 16:47,04/28/2021 - 16:47,04/28/2021 - 16:47,0,1911,15, Jongen, 4e middelbaar,5, Heel goed, Gemiddeld, Nee, Ja, Ja
